bin,Connochaetes_sp,Kobus_sigmoidalis,Metridiochoerus_modestus,Equus_sp_nov,Eurygnathohippus_sp,Elephas_recki,Beatragus_hunteri,Gazella_praethomsoni,Pelorovis_turkanensis,Hippopotamus_gorgops,Kolpochoerus_limnetes,Metridiochoerus_andrewsi,Metridiochoerus_hopwoodi,Dinofelis_piveteaui,Equus_grevyi,Eurygnathohippus_hasumense,Aepyceros_melampus,Megalotragus_sp,Kobus_ellipsiprymnus,Kobus_sp,Syncerus_caffer,Taurotragus_sp,Tragelaphus_scriptus,Tragelaphus_sp,Tragelaphus_strepsiceros,Giraffa_sp,aff_Hippopotamus_aethiopicus,Hippopotamus_amphibius,Kolpochoerus_majus,Metridiochoerus_compactus,Crocuta_crocuta,Equus_sp,Ceratotherium_simum,Diceros_bicornis,Theropithecus_oswaldi,Homo_erectus,Parmularius_cf_angusticornis,Redunca_sp,Tragelaphus_cf_imberbis,Tragelaphus_cf_scriptus,Megalotragus_kattwinkeli,Kobus_ancystrocera,Kobus_kob,Syncerus_sp,Giraffa_gracilis,Kolpochoerus_olduvaiensis,Phacochoerus_sp,Panthera_leo,Equus_oldowayensis,Eurygnathohippus_libycus,Alcelaphini_sp_3,Alcelaphini_sp_4,Connochaetes_taurinus,Damaliscus_niro,Megalotragus_issaci,Parmularius_angusticornis,Parmularius_maasaicus,Antidorcas_recki,Gazella_sp,Hippotragus_gigas,Kobus_sigmoidalis_Kobus_ellipsiprymnus,Pelorovis_oldowayensis,Syncerus_acoelotus,Camelus_sp,Giraffa_pygmaea,Giraffa_stillei,Sivatherium_maurusium,Hippopotamus_sp,Canis_falconeri,Panthera_pardus,cf_Metailurus_sp,Crocuta_ultra,Hyaena_hyaena,Pseudocivetta_ingens,Eurygnathohippus_cornelianus,Cercopithecoides_kimeui,Homo_habilis,Paranthropus_boisei,Deinotherium_bozasi,Connochaetes_gentryi,Damaliscus_sp,Tragelaphus_aff_spekei,Giraffa_jumae,Sivatherium_sp,Panthera_sp,Ancylotherium_hennigi,Aepyceros_sp,Gazella_janenschi,Menelikia_lyrocera,Pelorovis_sp,Tragelaphus_nakuae,aff_Hippopotamus_karumensis,Eurygnathohippus_ethiopicum,Notochoerus_sp,Theropithecus_sp,Beatragus_antiquus,Damaliscus_eppsi,Gazella_granti,Kobus_leche,Menelikia_sp,Kolpochoerus_sp,Metridiochoerus_sp,Acinonyx_sp_nov,Homotherium_sp,Dinofelis_sp,Megantereon_whitei,cf_Parahyaena_sp,Crocuta_cf_ultra,Crocuta_sp,Hyaena_sp,Parahyaena_sp,cf_Torolutra_sp,Torolutra_sp,cf_Pseudocivetta_sp,Equus_koobiforensis,Equus_quagga,Equus_tabeti,Ceratotherium_mauritanicum,Ceratotherium_sp,Homo_sp,Orycteropus_sp,Beatragus_sp,Rabaticeras_lemutai,Dinofelis_cf_piveteaui,Loxodonta_sp,Rabaticeras_sp,Gazella_cf_praethomsoni,Hippotragus_sp,Pelorovis_cf_oldowayensis,Pelorovis_cf_turkanensis,Tragelaphus_cf_strepsiceros,cf_Cercopithecoides_williamsi,Parmularius_sp,Parmularius_altidens,Oryx_sp,Camelus_grattardi,Notochoerus_scotti,cf_Acinonyx_sp,Dinofelis_aronoki,Crocuta_cf_eturono,Crocuta_dietrichi,Hyaena_cf_hyaena,Hyaena_cf_makapani,Torolutra_cf_ougandensis,Diceros_praecox,Diceros_sp,Damaliscus_strepsiceras,Giraffa_cf_jumae,aff_Hippopotamus_cf_aethiopicus,Hippopotamus_cf_amphibius,Kolpochoerus_cf_limnetes,Equus_cf_stenonis,Gazella_aff_rufifrons,Kolpochoerus_paiceae,Eurygnathohippus_cf_cornelianus,Parmularius_cf_pandatus,Alcelaphini_sp_2,Damaliscus_agelaius,Tragelaphus_gaudryi,Notochoerus_clarkei,Chasmaporthetes_cf_nitidula,Gorgopithecus_major,Simatherium_sp,Aepyceros_shungurae,Ugandax_sp,aff_Hippopotamus_protoamphibius,Potamochoerus_sp,Simatherium_shungurense,Acinonyx_sp,Panthera_cf_pardus,Megantereon_sp,Crocuta_cf_dietrichi,Viverra_leakeyi,Theropithecus_brumpti,Paracolobus_mutiwa,Rhinocolobus_turkanaensis,Lutrinae_Gen_et_sp_nov,Enhydriodon_cf_afman,Cercopithecoides_williamsi,Homo_rudolfensis,Loxodonta_adaurora,cf_Aepyceros_sp,cf_Connochaetes_sp,Giraffa_gracilis_Giraffa_camelopardalis,Hippopotamus_cf_gorgops,Hyaena_makapani,Equus_cf_oldowayensis,Enhydriodon_sp,Eurygnathohippus_sitifense,Paranthropus_aethiopicus,Metailurus_sp,Kobus_oricornus,Awashia_sp,cf_Menelikia_lyrocera,Kolpochoerus_phillipi,Loxodonta_atlantica,Damaliscus_cf_ademassui,Tragelaphus_aff_lockwoodi,Notochoerus_euilus,cf_Dinofelis_sp,Crocuta_eturono,Damalborea_sp,Kobus_cf_oricornis,Pelorovis_cf_kaisensis,Beatragus_whitei,cf_Numidocapra_crassicornis,cf_Rabaticeras_arambourgi,Damaliscus_ademassui,Parmularius_rugosus,Antidorcas_sp,cf_Oryx_sp,Ugandax_coryndonae,Hexaprotodon_bruneti,Homotherium_aff_problematicum,Australopithecus_garhi,Antilope_aff_subtorta,Tragelaphus_pricei,Nyanzachoerus_sp,Dinofelis_petteri,Gigantohyrax_maguirri,Parapapio_whitei,Beatragus_vrbae,cf_Damaliscus_sp,Parmularius_aff_pachyceras,cf_Gazella_sp,cf_Syncerus_sp,Notochoerus_capensis,Notochoerus_cf_scotti,Eurygnathohippus_afarense,Theropithecus_darti,Menelikia_leakeyi,Simatherium_kohllarseni,Tragelaphus_kyaloi,Potamochoerus_porcus,Nyanzachoerus_kanamensis,aff_Plesiogulo_sp,cf_Agriotherium_sp,Australopithecus_afarensis,Loxodonta_exoptata,Parmularius_parvicornis,Hippotragus_aff_cookei,Tragelaphus_cf_buxtoni,Ikelohyaena_cf_abronia,Eurygnathohippus_aff_cornelianus,Ceratotherium_cf_simum,Ceratotherium_efficax,cf_Damalborea_sp,cf_Antilope_sp,cf_Parantidorcas_latifrons,Tragelaphus_rastafari,Metridiochoerus_cf_compactus,Pachycrocuta_brevirostris,Australopithecus_sp,Aepyceros_sp_KH2,Alcelaphini_indet_B,Damalborea_grayi,Damalborea_sp_A,Praedamalis_deturi,Kolpochoerus_afarensis,cf_Pliocrocuta_sp,Stegodon_kaisensis,Damalacra_sp,Kobus_presigmoidalis,Simatherium_aff_kohllarsoni,Theropithecus_cf_brumpti,Australopithecus_cf_afarensis,Soromandrillus_quadratirostris,Elephas_ekorensis,Aepyceros_datoadeni,aff_Hippopotamus_afarensis,Paracolobus_chemeroni,Kenyanthropus_platyops,Alcelaphini_indet_A,Damalborea_sp_B,Kobus_sp_D,aff_Hippopotamus_coryndonae,Homotherium_hadarensis,cf_Pliocrocuta_perrieri,Chasmaporthetes_sp,Enhydriodon_sp_B,Enhydriodon_sp_C,Megantereon_ekidoit,?Pachycrocuta_sp,Rhinocolobus_sp,Tragelaphus_lockwoodi,aff_Hippopotamus_cf_coryndonae,cf_Parmularius_sp_B,Ikelohyaena_abronia,Enhydriodon_sp_A,Alcelaphini_indet_C,Gazella_cf_janenschi,Budorcas_churcheri,Australopithecus_deyiremeda,Damalborea_elisabethae,Kobus_sp_B,cf_Parmularius_sp_A
1.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.45,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
